question_no	pdf_page	source_label	preview
124	127	i.ii.i.iii.ii.i)1987 数一	(1.2.1.3.2) 已知极限推极值拐点 i.ii.i.iii.ii.i)1987 数一 (3) 设 limx→a f x - f a  x-a 2 =-1，则在 x = a 处 ( ) A. f x 的导数存在，且 f  a ≠ 0. B. f x 取得极大值. C. f x 取得极小值. D. f x 的导数不存在. 大观严选题 —— 澄潇宇
125	128	i.ii.i.iii.ii.ii)1990 数一;880 第二章基础选择 11	i.ii.i.iii.ii.ii)1990 数一;880 第二章基础选择 11 【11】设 f x 在 x = 0 的某邻域内连续, f 0 = 0,limx→0 f x  1-cosx = 2, 则 f x 在 x = 0 处 ( ). A. 不可导 B. 可导且 f  0 ≠ 0 C. 有极小值 D. 有极大值 大观严选题 —— 澄潇宇 第 125 页，共 767 页
126	129	i. ii. i. iii. ii. iii)1996 数一	i. ii. i. iii. ii. iii)1996 数一 (2) 设 f x 有二阶连续导数，且 f  0 = 0， limx→0 f  x  x = 1，则 ( ) A. f 0 是 f x 的极大值. B. f 0 是 f x 的极小值. C. 0,f 0  是曲线 y = f x 的拐点. D. f 0 不是 f x 的极值, 0,f 0  也不是曲线 y = f
127	130	i. ii. i. iii. ii. iv)2001 数三	i. ii. i. iii. ii. iv)2001 数三 (1) 设 f x 的导数在 x = a 处连续, 又 limx→a f  x  x-a =-1, 则 ( ) A. x = a 是 f x 的极小值点. B. x = a 是 f x 的极大值点. C. a,f a  是曲线 y = f x 的拐点. D. x = a 不是 f x 的极值点, a,f a  也不是曲线 y = f 
128	131	i. ii. i. iii. iii. ii)2001 数一	(1.2.1.3.3) 极限存在与导数存在 i. ii. i. iii. iii. ii)2001 数一 (3) 设 f 0 = 0，则 f x 在点 x = 0 可导的充要条件为 ( ) A. lim h→0 1 h
129	132	i.ii.i.ii.iii.ii)1989 数二	i.ii.i.ii.iii.ii)1989 数二 (6) 设 f x 在点 x = a 的某个邻域内有定义，则 f x 在 x = a 处可导的一个充分条件是 ( ) A. lim h→+∞ h f a+ 1
130	133	i. ii. i. iii.iii.iii)2025 数二;26 版 1000 第三章强化 24	i. ii. i. iii.iii.iii)2025 数二;26 版 1000 第三章强化 24 7.设函数 f x 连续，给出下列 4 个条件: ① limx→0  f x - f 0  x 存在; ② limx→0 f x - f 0 
131	134	i. ii. i.iii.iv. i)1996 数二;880 第二章综合选择 13	i. ii. i.iii.iv. i)1996 数二;880 第二章综合选择 13 (3) 设 f x 处处可导，则 ( ) A. 当 limx→-∞ f x =-∞时，必有 limx→-∞ f  x =-∞. B. 当 limx→-∞ f  x =-∞时, 必有 limx→-∞
132	135	i. ii. i. iii.iv. ii)2002 数一二	i. ii. i. iii.iv. ii)2002 数一二 (3) 设函数 y = f x 在 0,+∞ 内有界且可导，则 ( ) A. 当 limx→+∞ f x = 0 时, 必有 limx→+∞ f  x = 0. B. 当 limx→+∞ f  x 存在时, 必有 limx→+∞
133	136	i. ii. i. iii.iv.iii)2025 数一	i. ii. i. iii.iv.iii)2025 数一 设函数 f x 在区间 [0, +∞) 上可导, 则 ( ) A. 当 limx→+∞ f x 存在时, limx→+∞ f  x 存在. B. 当 limx→+∞ f  x 存在时, limx→+∞
134	137	i. ii. i. iii.iv.iv)2007 数一二三	i. ii. i. iii.iv.iv)2007 数一二三 (2) 设函数 f x 在 x = 0 处连续，以下命题错误的选项是 ( ) A.假设 limx→0 f x  x 存在, 则 f 0 = 0
135	138	i. ii. i. iii.iv.v)2020 数一	i. ii. i. iii.iv.v)2020 数一 2 设函数 f x 在区间 -1,1 内有定义，且 limx→0 f x = 0，则 ( )) A. 当 limx→0 f x  x = 0 时, f x 在 x = 0 处可导. B. 当 limx→0
136	139	i. ii. i. iii.iv.vi)2024 数一	i. ii. i. iii.iv.vi)2024 数一 (4) 设函数 f x 在区间 -1,1 内有定义, 且 limx→0 f x = 0, 则 A. 当 limx→0 f x  x = m 时, f  0 = m. B. 当 f  0 = m 时, limx→0
137	140	(a.b.a.d.a.a.a)2000 数三	a.b.a.d) 某点的可导问题 (1.2.1.4.1 绝对值相关 i. ii. i. iv. i. i)f 与  f 可导性的关系 (a.b.a.d.a.a.a)2000 数三 (2) 设函数 f x 在点 x = a 处可导, 则函数  f x  在点 x = a 处不可导的充分条件是 ( ) A. f a = 0 且 f  a = 0 B. f a = 0 且 f  a ≠ 0 C. f a 
138	141	(a.b.a.d.a.b.a)1998 数一二	i.ii.i.iv.i.ii) 判断不可导点的个数 (a.b.a.d.a.b.a)1998 数一二 (2) 函数 f x = x 2-x-2 x 3-x 不可导点的个数是 ( ) A. 3. B. 2. C. 1 D. 0. 大观严选题 —— 澄潇宇 第 138 页，共 767 页
139	142	(a.b.a.d.a.c.a)1992 数一;26 版 1000 第四章强化 17	i.ii.i.iv.i.iii) 求可导的最高阶数 (a.b.a.d.a.c.a)1992 数一;26 版 1000 第四章强化 17 (4) 设 f x = 3x 3+ x 2 x，则使 f n 0 存在的最高阶数 n 为 ( )
140	143	(a.b.a.d.a.d.a)1995 数一二;880 第二章基础选择 14	i.ii.i.iv. i.iv) 两个函数乘积 (a.b.a.d.a.d.a)1995 数一二;880 第二章基础选择 14 (3) 设 f x 可导, Fx = f x 1+sinx , 则 f 0 = 0 是 Fx 在 x = 0 处可导的 ( ) A. 充分必要条件. B. 充分条件但非必要条件. C. 必要条件但非充分条件. D. 既非充分条件又非必要条件. 大观严选题 —— 澄潇宇 第 140 页，
141	144	(a.b.a.d.b.a.a)2018 数一二三;880 第二章基础选择 7	(1.2.1.4.2) 研究具体函数在某点的导数 i. ii. i.iv.ii.i) 不分段函数 (a.b.a.d.b.a.a)2018 数一二三;880 第二章基础选择 7 (2) 下列函数中，在 x = 0 处不可导的是 ( ) A. f x = xsinx. B. f x = xsin x . C. f x = cosx. D. f x = cos x . 大观严选题 —— 澄潇宇 第 14
142	145	i. ii. i. iv. ii. ii. i. i)1999 数一二;880 第二章基础选择 1	i. ii. i. iv. ii. ii) 分段函数 (a.b.a.d.b.b.a) 连续,可导 i. ii. i. iv. ii. ii. i. i)1999 数一二;880 第二章基础选择 1 (2) 设 f x = 1-cosx x , x>0, x
143	146	i.ii.i.iv.ii.ii.i.i.ii)2005 数一二	i.ii.i.iv.ii.ii.i.i.ii)2005 数一二 (7) 设函数 f x = limn→∞ n 1+x3n，则 f x 在 -∞,+∞ 内 ( ) A. 处处可导. B. 恰有一个不可导点. C. 恰有两个不可导点. D. 至少有三个不可导点. 大观严选题 —— 澄潇宇 第 143 页，共 767 页
144	147	i. ii. i. iv.ii.ii.ii.iii)2016 数一	i. ii. i. iv.ii.ii.ii.iii)2016 数一 (4) 已知函数 f x = x, x≤0, 1 n , 1 n+1 <x≤
145	148	i. ii. i. iv. ii. ii. ii. iv)2021 数一二三	i. ii. i. iv. ii. ii. ii. iv)2021 数一二三 (2) 函数 f x = e x-1 x , x≠0, 1, x=0
146	149	i. ii. i. iv.ii.ii.ii.ii.i1996 数三;25 版 660 数一二三第 148 题	(a.b.a.d.b.b.b) 导函数连续 i. ii. i. iv.ii.ii.ii.ii.i1996 数三;25 版 660 数一二三第 148 题 设 f x = gx -e-x x , x≠0, 0, x=0,  
147	150	i. ii. i. iv. ii. ii. ii. ii. ii)2015 数二	i. ii. i. iv. ii. ii. ii. ii. ii)2015 数二 (3) 设函数 f x = x αcos 1 x
148	151	i.ii.i.iv.ii.ii.ii.ii.iii. iii)2026 数二三	i.ii.i.iv.ii.ii.ii.ii.iii. iii)2026 数二三 设函数 gx 连续, f x = x 2 0 g  xt dt, 求 f  x 的表达式, 并讨论 f  x 在 x = 0 处的连续性. 大观严选题 —— 澄潇宇 第 148 页，共 767 页
149	152	(a.b.a.d.b.c.a)2023 数一二	i.ii.i. iv.ii.iii) 含绝对值的参数方程 (a.b.a.d.b.c.a)2023 数一二 5.设函数 y = f x 由 x=2t+t y= tsint 
150	153	i.ii.i.iv.ii.ii)1990 数三;26 版 660 数二第 522 题	(1.2.1.4.3) 研究抽象函数在某点的导数 i.ii.i.iv.ii.ii)1990 数三;26 版 660 数二第 522 题 (2) 设函数 f x 对任意 x 均满足等式 f 1+x = af x , 且有 f  0 = b, 其中 a,b 为非零常 数,则 ( ) A. f x 在 x = 1 处不可导 B. f x 在 x = 1 处可导, 且 f  1 = a C. f x 在 x 
151	154	i.ii.i.iv.iii.ii)1996 数二;880 第二章基础选择 18	i.ii.i.iv.iii.ii)1996 数二;880 第二章基础选择 18 (2) 设函数 f x 在区间 -δ,δ 内有定义，若当 x ∈ -δ,δ 时，恒有  f x  ≤ x 2，则 x = 0 必是 f x  的 ( ) A. 间断点. B. 连续而不可导的点. C. 可导的点, 且 f  0 = 0. D. 可导的点, 且 f  0 ≠ 0. 大观严选题 —— 澄潇宇 第 151 页，共
152	155	(1.2.2.1.1)2012 数一二三	1.2.2.导数计算 a.b.b.a) 乘积求导 (1.2.2.1.1)2012 数一二三 (2) 设函数 f x = e x-1  e 2x-2 ⋯ e nx-n ，其中 n 为正整数，则 f  0 = ( ) A. -1 n-1 n-1 !. B. -1 n
153	156	(1.2.2.2.1)2012 数三	a.b.b.b) 复合函数求导 (1.2.2.2.1)2012 数三 设函数 f x = ln x, x≥1, 2x-1, x<1,  y= f  f x    , 则
154	157	(1.2.2.2.2)2021 数三	(1.2.2.2.2)2021 数三 若 y = cose- x , 则 dy dx  x=1 = ______. 大观严选题 —— 澄潇宇
155	158	(1.2.2.3.1)2007 数二	a.b.b.c) 隐函数求导 (1.2.2.3.1)2007 数二 已知函数 f u 具有二阶导数, 且 f  0 = 1, 函数 y = yx 由方程 y - xe y-1 = 1 所确定, 设 z = f lny-sinx , 求 dz
156	159	(1.2.2.3.2)2010 数三	(1.2.2.3.2)2010 数三 设可导函数 y = yx 由方程 x+y 0 e-t2  dt = x0 x  sint2dt 确定, 则
157	160	(1.2.2.3.3)2022 数二	(1.2.2.3.3)2022 数二 已知函数 y = yx 由方程 x 2+ xy + y 3 = 3 确定, 则 y 1 = _____ 大观严选题 —— 澄潇宇
158	161	(1.2.2.4.1)2026 数二三	a.b.b.d) 反函数求导 (1.2.2.4.1)2026 数二三 6.已知 f x = x 3 1 e t
159	162	(1.2.2.5.1)2020 数一二	a.b.b.e) 参数方程求导 (1.2.2.5.1)2020 数一二 9.设 x= t2+1, y=ln t+ t  2+1 ,   则
160	163	(1.2.2.5.2)2021 数一二	(1.2.2.5.2)2021 数一二 设函数 y = yx 由参数方程 x=2et+t+1, y=4t-1 e t+t2   所确定, 则
161	164	(1.2.2.5.3)2025 数二	(1.2.2.5.3)2025 数二 已知函数 y = yx 由 x=ln1+2t  2t￾y+t2 1 e-u 2  du=0
162	165	(1.2.2.5.4)2026 数一	(1.2.2.5.4)2026 数一 设函数 y = yx 由参数方程 x=2sin2 t y=t+cost t∈ 0, π 2
163	166	(1.2.2.6.1)2005 数二	a.b.b.f) 幂指函数求导 (1.2.2.6.1)2005 数二 设 y = 1+sinx x , 则 dy x=π = _____ 大观严选题 —— 澄潇宇 第 163 页，共 767 页
164	167	i. ii. ii. vii. vi. i)2017 数一	a.b.b.g) 高阶导 (1.2.2.7.1 明显奇偶性 i. ii. ii. vii. vi. i)2017 数一 设 f x = 1 1+x 2 ，则 f 3 0 = _____. 大观严选题 —— 澄潇宇
165	168	i. ii. ii. vii. i. ii)2022 数三	i. ii. ii. vii. i. ii)2022 数三 已知函数 f x = e sinx+ e-sinx , 则 f 2π = _____. 大观严选题 —— 澄潇宇 第 165 页，共 767 页
166	169	i. ii. ii. vii. ii. i)1995 数三	(1.2.2.7.2) 有理函数 i. ii. ii. vii. ii. i)1995 数三 设 f x = 1-x 1+x ，则 f n x = _____. 大观严选题 —— 澄潇宇
167	170	i. ii. ii. vii. ii. ii)2007 数二三	i. ii. ii. vii. ii. ii)2007 数二三 设 f x = 1 2x+3 ，则 f n 0 = _____. 大观严选题 —— 澄潇宇 第 167 页，共 767 页
168	171	i. ii. ii. vii.iii. i)2010 数二;880 第二章基础选择 17	(1.2.2.7.3) 对数相关 i. ii. ii. vii.iii. i)2010 数二;880 第二章基础选择 17 设 f x = ln1-2x ，则 f n 0 = _____. 大观严选题 —— 澄潇宇 第 168 页，共 767 页
169	172	i. ii. ii. vii.iv.i)2020 数二	(1.2.2.7.4) 乘积高阶导 i. ii. ii. vii.iv.i)2020 数二 4.已知函数 f x = x 2 ln1-x .当 n ≥ 3 时， f n 0 = ( ) A. -
170	173	i. ii. ii. vii.iv.ii)2015 数二	i. ii. ii. vii.iv.ii)2015 数二 函数 f x = x 22 x在 x = 0 处的 n 阶导数 f n 0 = _____. 大观严选题 —— 澄潇宇 第 170 页，共 767 页
171	174	i. ii. ii. vii.ivi.iii)2024 数二	i. ii. ii. vii.ivi.iii)2024 数二 已知函数 f x = x 2 e x+1 ，则 f 5 1 = _____. 大观严选题 —— 澄潇宇 第 171 页，共 767 页
172	175	i. ii. ii. vii. v. i)2016 数一	(1.2.2.7.5) 罕见函数 i. ii. ii. vii. v. i)2016 数一 设函数 f x = arctanx - x 1+ax2 ，且 f 0 = 1，则 a = _____ 大观严选题 —— 澄潇宇
173	176	i. ii. ii. vii. vi. i)2016 数二	(1.2.2.7.6) 变限积分 i. ii. ii. vii. vi. i)2016 数二 已知函数 f x 在 -∞,+∞ 上连续, 且 f x = x+1 2+ 2 x0 f  t dt, 则当 n ≥ 2 时, f n 0 = ____. 大观严选题 —— 澄潇宇 第 173 页，共 767 页
174	177	i.ii.ii.vii.vii.i)1990 数一二;880 第二章基础选择 16	(1.2.2.7.7) 有规律 i.ii.ii.vii.vii.i)1990 数一二;880 第二章基础选择 16 (3) 已知函数 f x 具有任意阶导数，且 f  x =  f x 2，则当 n 为大于 2 的正整数时， f x 的 n 阶 导数 f n x 为 ( ) A. n! f x n+1 . B. n f x n+1
175	178	i. ii.iii.i.i.i)2004 数一;26 版 660 数一二三第 27 题	1.2.3.导数应用 a.b.c.a) 切法线 (1.2.3.1.1 普通曲线 i. ii.iii.i.i.i)2004 数一;26 版 660 数一二三第 27 题 曲线 y = lnx 上与直线 x + y = 1 垂直的切线方程为 _____ 大观严选题 —— 澄潇宇 第 175 页，共 767 页
176	179	i. ii.iii.i.i.ii)2010 数二	i. ii.iii.i.i.ii)2010 数二 (3) 曲线 y = x 2与曲线 y = alnxa≠0 相切, 则 a = ( ) A. 4e. B. 3e. C. 2e. D. e. 大观严选题 —— 澄潇宇 第 176 页，共 767 页
177	180	i. ii. iii. i. i.iii)2018 数二三	i. ii. iii. i. i.iii)2018 数二三 曲线 y = x 2+ 2lnx 在其拐点处的切线方程是 _____ 大观严选题 —— 澄潇宇 第 177 页，共 767 页
178	181	i. ii.iii. i.ii.i)2020 数三	(1.2.3.1.2) 隐函数表示的曲线 i. ii.iii. i.ii.i)2020 数三 曲线 x + y + e 2xy = 0 在点 0,-1 处的切线方程为 _____ 大观严选题 —— 澄潇宇 第 178 页，共 767 页
179	182	i. ii. iii. i. ii. ii)2023 数二	i. ii. iii. i. ii. ii)2023 数二 14.曲线 3x 3 = y 5+ 2y 3在 x = 1 对应点处的法线斜率为 _____ 大观严选题 —— 澄潇宇 第 179 页，共 767 页
180	183	i. ii.iii. i.iii. i)2009 数二	(1.2.3.1.3) 参数方程表示的曲线 i. ii.iii. i.iii. i)2009 数二 曲线 x= 1-t 0 e-u 2  du, y=t2
181	184	i. ii.iii.i.ii.ii)2013 数二	i. ii.iii.i.ii.ii)2013 数二 曲线 x=arctant y=ln 1+t2  
182	185	i. ii.iii. i.iv.i)1997 数一	(1.2.3.1.4) 极坐标表示的曲线 i. ii.iii. i.iv.i)1997 数一 对数螺线 ρ = e θ在点  ρ,θ = e π 2 , π
183	186	i. ii. iii. i.v. i)2000 数二;26 版 660 数二第 459 题;880 第二章综合解答 3	(1.2.3.1.5) 未给出表达式 i. ii. iii. i.v. i)2000 数二;26 版 660 数二第 459 题;880 第二章综合解答 3 已知 f x 是周期为 5 的连续函数, 它在 x = 0 的某个领域内满足关系式 f 1+sinx - 3f 1-sinx = 8x + αx , 其中 αx 是当 x → 0 时比 x 高阶的无穷小, 且 f x 在 x = 1 处可导, 求曲线 y =
184	187	(a.b.c.b.a.a.a)2014 数一二三	a.b.c.b) 渐近线 (1.2.3.2.1 斜渐近线 (可提取) i. ii.iii.ii.ii.i) 直接给出 (a.b.c.b.a.a.a)2014 数一二三 (2) 下列曲线中有渐近线的是 ( ) A. y = x + sinx. B. y = x 2+ sinx. C. y = x + sin 1
185	188	(a.b.c.b.a.a.b)2017 数二	(a.b.c.b.a.a.b)2017 数二 曲线 y = x 1+arcsin 2 x  的斜渐近线方程为 _____ 大观严选题 —— 澄潇宇 第 185 页，共 767 页
186	189	(a.b.c.b.a.b.a)2005 数一	i. ii.iii.ii.ii.i.i) 有理分式 (a.b.c.b.a.b.a)2005 数一 曲线 y = x 2 2x+1 的斜渐近线方程为 _____ 大观严选题 —— 澄潇宇
187	190	(a.b.c.b.a.b.b)2016 数二	(a.b.c.b.a.b.b)2016 数二 曲线 y = x 3 1+x 2 + arctan 1+x
188	191	(a.b.c.b.a.c.a)2007 数一二三	i. ii.iii.ii.ii.iii) 含对数 (a.b.c.b.a.c.a)2007 数一二三 (5) 曲线 y = 1 x + ln 1+e
189	192	(a.b.c.b.a.c.b)2023 数一二	(a.b.c.b.a.c.b)2023 数一二 (1) 曲线 y = xln e+ 1 x-1  的斜渐近线方程为 ( ) A. y = x + e. B. y = x +
190	193	(a.b.c.b.a.d.a)2000 数二	i. ii.iii.ii.i.iv) 含指数 (a.b.c.b.a.d.a)2000 数二 曲线 y = 2x-1 e 1 x 的斜渐近线方程为 _____ 大观严选题 —— 澄潇宇 第 190 页，共 767 页
191	194	(a.b.c.b.a.e.a)2025 数二	i. ii.iii.ii.i.v) 含根号 (a.b.c.b.a.e.a)2025 数二 曲线 y = 3 x 3-3x 2+1 的渐近线方程为 _____. 大观严选题 —— 澄潇宇
192	195	i. ii. iii. ii. ii. i)1991 数一;880 第二章基础选择 23	(1.2.3.2.2) 含幂 / 指函数 i. ii. iii. ii. ii. i)1991 数一;880 第二章基础选择 23 (1) 曲线 y = 1+e-x 2 1-e-x
193	196	i. ii.iii.ii.ii.ii.ii)1994 数二三	i. ii.iii.ii.ii.ii.ii)1994 数二三 (4) 曲线 y = e 1 x 2 arctan x 2+x+1
194	197	i. ii. iii. ii. ii. iii. iii)2020 数二	i. ii. iii. ii. ii. iii. iii)2020 数二 求曲线 y = x 1+x 1+x x x>0 的斜渐近线方程. 大观严选题 —— 澄潇宇
195	198	i. ii. iii. ii. ii. ii)2025 数三	(1.2.3.2.3) 反函数 i. ii. iii. ii. ii. ii)2025 数三 设 gx 是函数 f x = 1 2 ln 3+x
196	199	i. ii.iii.ii.iv.i)1989 数一二	(1.2.3.2.4) 其他 i. ii.iii.ii.iv.i)1989 数一二 (1) 当 x > 0 时，曲线 y = xsin 1 x ( ) A. 有且仅有水平渐近线. B. 有且仅有铅直渐近线. C. 既有水平渐近线, 也有铅直渐近线. D. 既无水平渐近线, 也无铅直渐近线. 大观严选题 —— 澄潇宇
197	200	i. ii.iii.ii.iv.ii)2005 数二	i. ii.iii.ii.iv.ii)2005 数二 曲线 y = 1+x  3 2 x
198	201	i. ii.iii.ii.iv.iii)2012 数一二三	i. ii.iii.ii.iv.iii)2012 数一二三 (1) 曲线 y = x 2+x x 2-1
199	202	i. ii. iii. iii. i. i)2016 数二	a.b.c.c) 曲率 (1.2.3.3.1 概念题 i. ii. iii. iii. i. i)2016 数二 (5) 设函数 f ix i=1,2 具有二阶连续导数, 且 f ′′ i x 0 < 0i=1,2 .若两条曲线 y = f ix i=1,2 在点
200	203	i.ii.iii.iii.ii. ii)2019 数二	i.ii.iii.iii.ii. ii)2019 数二 6.设函数 f x ,gx 的 2 阶导函数在 x = a 处连续, 则 limx→a f x -gx  x-a 2 = 0 是两条曲线 y = f x ,y = gx 在 x = a 对应的点处相切及曲率相等的 ( ) A. 充分不必要条件. B. 充分必要条件. C. 必要不充分条件. D. 既不充分又不必要条件. 大观严选题 —— 澄潇宇
201	204	i. ii.iii.iii.ii.i)2009 数二	(1.2.3.3.2) 曲率圆 i. ii.iii.iii.ii.i)2009 数二 (5) 若 f  x 不变号, 且曲线 y = f x 在点 1,1 处的曲率圆为 x 2+ y 2 = 2, 则函数 f x 在区间 (1,2)
202	205	i. ii. iii. iii. ii. ii. ii)2024 数二	i. ii. iii. iii. ii. ii. ii)2024 数二 曲线 y 2 = x 在点 0,0 处的曲率圆方程为 _____. 大观严选题 —— 澄潇宇 第 202 页，共 767 页
203	206	i. ii.iii.iii.iii.i)2014 数二	(1.2.3.3.3) 曲率 (半径) i. ii.iii.iii.iii.i)2014 数二 (4) 曲线 x=t2+7, y=t2+4t+1   上对应于 t = 1 的点处的曲率半径是 ( )
204	207	i. ii. iii. iii. iii. iii. ii)2012 数二	i. ii. iii. iii. iii. iii. ii)2012 数二 曲线 y = x 2+ xx<0 上曲率为 2 2 的点的坐标是 _____ 大观严选题 —— 澄潇宇 第 204 页，共 767 页
205	208	(a.b.c.d.a.a.a)2001 数一二	a.b.c.d) 极最拐 (1.2.3.4.1 极值 i.ii.iii.iv.i.i) 单调性 (a.b.c.d.a.a.a)2001 数一二 (5) 已知函数 y = f x 在其定义域内可导, 它的图形如上图所示, 则其导函数 y = f  x 的图形为 ( ). 大观严选题 —— 澄潇宇 第 205 页，共 767 页
206	209	(a.b.c.d.a.a.b)2004 数一二;26 版 660 数一二三第 150 题;880 第二章基础选择 19	(a.b.c.d.a.a.b)2004 数一二;26 版 660 数一二三第 150 题;880 第二章基础选择 19 (8) 设函数 f x 连续，且 f  0 > 0，则存在 δ > 0，使得 ( ) A. f x 在 0,δ 内单调增加. B. f x 在 -δ,0 内单调减少. C. 对任意的 x ∈ 0,δ , 有 f x > f 0 . D. 对任意的 x ∈ -δ,0 , 有 f 
207	210	(a.b.c.d.a.a.c)2022 数二	(a.b.c.d.a.a.c)2022 数二 (3) 设 f x 在 x = x0处有二阶导数，则 ( ) A. 当 f x 在 x0的某邻域内单调增加时， f  x 0 > 0. B. 当 f  x 0 > 0 时, f x 在 x0的某邻域内单调增加. C. 当 f x 在 x0的某邻域内是凹函数时, f  x 0 > 0. D. 当 f  x 0 > 0 时, f x 在 x0的某邻域内
208	211	(a.b.c.d.a.b.a)2003 数一二	i.ii.iii.iv.i.ii) 极值概念题 (a.b.c.d.a.b.a)2003 数一二 (4) 设函数 f x 在 -∞,+∞ 内连续，其导函数的图形如图所示，则 f x 有 ( ). A. 一个极小值点和两个极大值点 B. 两个极小值点和一个极大值点 C. 两个极小值点和两个极大值点 D. 三个极小值点和一个极大值点 大观严选题 —— 澄潇宇 第 208 页，共 767 页
209	212	(a.b.c.d.a.b.b)2010 数三	(a.b.c.d.a.b.b)2010 数三 (3) 设函数 f x ,gx 具有二阶导数，且 g  x < 0.若 g x 0 = a 是 gx 的极值，则 f gx  在 x0处 取极大值的一个充分条件是 ( ) A. f  a < 0. B. f  a > 0. C. f 
210	213	i. ii. iii.iv.i.iii.i.i2005 数三;26 版 660 数二第 540 题	i.ii.iii.iv.i.iii) 求极值 (a.b.c.d.a.c.a) 普通函数极值 i. ii. iii.iv.i.iii.i.i2005 数三;26 版 660 数二第 540 题 (10) 设 f x = xsinx + cosx，下列命题中正确的是 ( ) A. f 0 是极大值， f π 2  是极小值. B. f 0 是极小值， f π
211	214	i. ii.iii.iv.i.iii.ii.i)2019 数一	(a.b.c.d.a.c.b) 分段函数极值 i. ii.iii.iv.i.iii.ii.i)2019 数一 (2) 设函数 f x = xx, x≤0, xlnx, x>0,   则 x = 0 是 f x 的 ( )
212	215	i. ii.iii.iv.i.iii.iii.i)1994 数二	(a.b.c.d.a.c.c) 微分方程解的极值 i. ii.iii.iv.i.iii.iii.i)1994 数二 (3) 设 y = f x 是满足微分方程 y + y  - e sinx = 0 的解，且 f  x 0 = 0，则 f x 在 ( ) A. x0某邻域内单调增加. B. x0某邻域内单调减少. C. x0处取得极小值. D. x0处取得极大值. 大观严选题 —— 澄潇宇
213	216	i. ii.iii.iv.i.iii.iv.i)2017 数一二	(a.b.c.d.a.c.d) 隐函数极值 i. ii.iii.iv.i.iii.iv.i)2017 数一二 已知函数 yx 由方程 x 3+ y 3- 3x + 3y - 2 = 0 确定, 求 yx 的极值. 大观严选题 —— 澄潇宇 第 213 页，共 767 页
214	217	i. ii.iii.iv.i.iii.iv.ii)2023 数三	i. ii.iii.iv.i.iii.iv.ii)2023 数三 已知可导函数 y = yx 满足 aex+ y 2+ y - ln1+x cosy + b = 0, 且 y0 = 0,y  0 = 0. (1) 求 a,b 的值； (2) 判断 x = 0 是否为 yx 的极值点. 大观严选题 —— 澄潇宇 第 214 页，共 767 页
215	218	i. ii.iii.iv.i.iii.v.i)2010 数一二	(a.b.c.d.a.c.e) 变限积分函数极值 i. ii.iii.iv.i.iii.v.i)2010 数一二 求函数 f x = x 2 1 x 2-t   e-t2dt 的单调区间与极值. 大观严选题 —— 澄潇宇 第 215 页，共 767 页
216	219	(a.b.c.d.b.a.a)2009 数二	(1.2.3.4.2) 最值 i. ii.iii.iv.ii. i) 普通函数 (a.b.c.d.b.a.a)2009 数二 函数 y = x 2x在区间 (0,1] 上的最小值为 _____ 大观严选题 —— 澄潇宇 第 216 页，共 767 页
217	220	(a.b.c.d.b.b.a)2016 数二三	i. ii.iii.iv.ii.ii) 以积分给出的函数最值 (a.b.c.d.b.b.a)2016 数二三 设函数 f x = 1 0 t2-x
218	221	(a.b.c.d.c.a.a)2021 数二	(1.2.3.4.3) 拐点 i. ii.iii.iv.iii.i) 凹凸性 (a.b.c.d.c.a.a)2021 数二 已知 f x = xx 1+x
219	222	(a.b.c.d.c.b.a)2015 数一二三;880 第二章基础填空 5	i.ii.iii.iv.iii.ii) 拐点概念题 (a.b.c.d.c.b.a)2015 数一二三;880 第二章基础填空 5 (2) 设函数 f x 在 -∞,+∞ 内连续，其 2 阶导函数 f  x 的图形如右图所示，则曲线 y = f x 的 拐点个数为 ( ) A. 0. B. 1. C. 2. D. 3. 大观严选题 —— 澄潇宇
220	223	(a.b.c.d.c.b.b)2016 数二三	(a.b.c.d.c.b.b)2016 数二三 (1) 设函数 f x 在 -∞,+∞ 内连续，其导函数的图形如图所示，则 ( ) A. 函数 f x 有 2 个极值点, 曲线 y = f x 有 2 个拐点. B. 函数 f x 有 2 个极值点, 曲线 y = f x 有 3 个拐点. C. 函数 f x 有 3 个极值点, 曲线 y = f x 有 1 个拐点. D. 函数 f x 有 3 个极
221	224	(a.b.c.d.c.c.a)2019 数二三	i. ii. iii. iv.iii.iii) 求拐点 (a.b.c.d.c.c.a)2019 数二三 曲线 y = xsinx + 2cosx - π 2 <x< 3π
222	225	(a.b.c.d.c.d.a)2004 数二三	i. ii.iii.iv.iii.iv) 判断拐点 (a.b.c.d.c.d.a)2004 数二三 (8) 设 f x = x1-x , 则 ( ). A. x = 0 是 f x 的极值点, 但点 0,0 不是曲线 y = f x 的拐点 B. x = 0 不是 f x 的极值点, 但点 0,0 是曲线 y = f x 的拐点 C. x = 0 是 f x 的极值点, 且点 0,0 是曲线 
223	226	(a.b.c.d.c.d.b)2025 数一二三	(a.b.c.d.c.d.b)2025 数一二三 1.已知函数 f x = x0 e t2  sintdt,gx = x0 e
224	227	(a.b.c.d.c.e.a)2001 数二;880 第二章基础选择 12	i.ii.iii.iv.iii.v) 高次幂乘积拐点 (a.b.c.d.c.e.a)2001 数二;880 第二章基础选择 12 (3) 曲线 y = x-1 2 x-3 2的拐点个数为 ( ). A. 0 B. 1 C. 2 D. 3 大观严选题 —— 澄潇宇 第 224 页，共 767 页
